egyp.com	registered	15/11/22_17:25:15	   Updated Date: 03-feb-2015	   Creation Date: 28-nov-1997	   Expiration Date: 27-nov-2016
egyq.com	registered	15/11/22_17:25:16	   Updated Date: 30-apr-2015	   Creation Date: 16-mar-2013	   Expiration Date: 16-mar-2016
egyr.com	registered	15/11/22_17:25:16	   Updated Date: 11-jan-2015	   Creation Date: 28-apr-2006	   Expiration Date: 28-apr-2016
egys.com	registered	15/11/22_17:25:17	   Updated Date: 12-may-2015	   Creation Date: 23-may-2005	   Expiration Date: 23-may-2016
egyt.com	registered	15/11/22_17:25:18	   Updated Date: 16-jun-2015	   Creation Date: 16-nov-2001	   Expiration Date: 16-nov-2017
egyu.com	registered	15/11/22_17:25:18	   Updated Date: 18-nov-2015	   Creation Date: 25-dec-2008	   Expiration Date: 25-dec-2016
egyv.com	registered	15/11/22_17:25:19	   Updated Date: 08-sep-2015	   Creation Date: 08-sep-2009	   Expiration Date: 08-sep-2016
egyw.com	registered	15/11/22_17:25:19	   Updated Date: 22-jun-2015	   Creation Date: 19-jun-2004	   Expiration Date: 19-jun-2016
egyx.com	registered	15/11/22_17:25:20	   Updated Date: 07-oct-2015	   Creation Date: 02-oct-2004	   Expiration Date: 02-oct-2016
egyy.com	registered	15/11/22_17:25:21	   Updated Date: 19-nov-2015	   Creation Date: 14-jun-2008	   Expiration Date: 14-jun-2017
egyz.com	registered	15/11/22_17:25:22	   Updated Date: 31-mar-2015	   Creation Date: 10-apr-2006	   Expiration Date: 10-apr-2016
egza.com	registered	15/11/22_17:25:22	   Updated Date: 02-dec-2014	   Creation Date: 22-apr-2005	   Expiration Date: 22-apr-2017
egzb.com	registered	15/11/22_17:25:23	   Updated Date: 30-dec-2014	   Creation Date: 14-jul-2007	   Expiration Date: 14-jul-2017
egzc.com	registered	15/11/22_17:25:23	   Updated Date: 27-apr-2015	   Creation Date: 26-mar-2007	   Expiration Date: 26-mar-2016
egzd.com	registered	15/11/22_17:25:24	   Updated Date: 23-sep-2015	   Creation Date: 17-nov-2011	   Expiration Date: 17-nov-2016
egze.com	registered	15/11/22_17:25:24	   Updated Date: 07-aug-2015	   Creation Date: 16-feb-2004	   Expiration Date: 16-feb-2017
egzf.com	registered	15/11/22_17:25:25	   Updated Date: 22-aug-2015	   Creation Date: 11-aug-2007	   Expiration Date: 11-aug-2016
egzg.com	registered	15/11/22_17:25:25	   Updated Date: 02-dec-2014	   Creation Date: 03-jul-2012	   Expiration Date: 03-jul-2016
egzh.com	registered	15/11/22_17:25:26	   Updated Date: 20-sep-2015	   Creation Date: 19-sep-2010	   Expiration Date: 19-sep-2016
egzi.com	registered	15/11/22_17:25:26	   Updated Date: 27-aug-2015	   Creation Date: 11-sep-2005	   Expiration Date: 11-sep-2016
egzj.com	registered	15/11/22_17:25:27	   Updated Date: 19-oct-2015	   Creation Date: 08-nov-2009	   Expiration Date: 08-nov-2016
egzk.com	registered	15/11/22_17:25:28	   Updated Date: 21-apr-2015	   Creation Date: 20-apr-2007	   Expiration Date: 20-apr-2016
egzl.com	registered	15/11/22_17:25:28	   Updated Date: 16-oct-2015	   Creation Date: 09-oct-2008	   Expiration Date: 09-oct-2016
egzm.com	registered	15/11/22_17:25:29	   Updated Date: 10-aug-2015	   Creation Date: 03-aug-2006	   Expiration Date: 01-jul-2016
egzn.com	registered	15/11/22_17:25:29	   Updated Date: 29-sep-2015	   Creation Date: 25-nov-2006	   Expiration Date: 25-nov-2016
egzo.com	registered	15/11/22_17:25:29	   Updated Date: 25-jan-2015	   Creation Date: 24-jan-2003	   Expiration Date: 24-jan-2016
egzp.com	registered	15/11/22_17:25:30	   Updated Date: 16-nov-2015	   Creation Date: 03-feb-2010	   Expiration Date: 03-feb-2017
egzq.com	registered	15/11/22_17:25:31	   Updated Date: 09-oct-2015	   Creation Date: 26-jun-2007	   Expiration Date: 26-jun-2016
egzr.com	registered	15/11/22_17:25:31	   Updated Date: 16-oct-2015	   Creation Date: 30-jun-2007	   Expiration Date: 30-jun-2017
egzs.com	registered	15/11/22_17:25:32	   Updated Date: 14-nov-2015	   Creation Date: 29-jul-2006	   Expiration Date: 29-jul-2017
egzt.com	registered	15/11/22_17:25:32	   Updated Date: 07-aug-2015	   Creation Date: 22-aug-2011	   Expiration Date: 22-aug-2016
egzu.com	registered	15/11/22_17:25:33	   Updated Date: 09-sep-2015	   Creation Date: 07-dec-2014	   Expiration Date: 07-dec-2016
egzv.com	registered	15/11/22_17:25:33	   Updated Date: 11-jul-2015	   Creation Date: 20-jul-2007	   Expiration Date: 20-jul-2016
egzw.com	registered	15/11/22_17:25:34	   Updated Date: 13-aug-2015	   Creation Date: 11-oct-2006	   Expiration Date: 11-oct-2016
